0	255	93	7
1	255	83	7
2	265	93	7
3	265	83	7
4	244	112	8
5	244	102	8
6	254	112	8
7	254	102	8
8	232	134	9
9	232	124	9
10	242	134	9
11	242	124	9
12	221	150	10
13	221	140	10
14	231	150	10
15	231	140	10
16	213	170	11
17	213	160	11
18	223	170	11
19	223	160	11
20	202	189	12
21	202	179	12
22	212	189	12
23	212	179	12
24	292	110	15
25	292	100	15
26	302	110	15
27	302	100	15
28	281	132	16
29	281	122	16
30	291	132	16
31	291	122	16
32	271	152	17
33	271	142	17
34	281	152	17
35	281	142	17
36	259	169	18
37	259	159	18
38	269	169	18
39	269	159	18
40	247	191	19
41	247	181	19
42	257	191	19
43	257	181	19
44	237	209	20
45	237	199	20
46	247	209	20
47	247	199	20
48	331	131	23
49	331	121	23
50	341	131	23
51	341	121	23
52	318	158	24
53	318	148	24
54	328	158	24
55	328	148	24
56	309	174	25
57	309	164	25
58	319	174	25
59	319	164	25
60	296	195	26
61	296	185	26
62	306	195	26
63	306	185	26
64	286	214	27
65	286	204	27
66	296	214	27
67	296	204	27
68	276	231	28
69	276	221	28
70	286	231	28
71	286	221	28
72	367	155	31
73	367	145	31
74	377	155	31
75	377	145	31
76	358	176	32
77	358	166	32
78	368	176	32
79	368	166	32
80	343	197	33
81	343	187	33
82	353	197	33
83	353	187	33
84	335	212	34
85	335	202	34
86	345	212	34
87	345	202	34
88	322	234	35
89	322	224	35
90	332	234	35
91	332	224	35
92	313	253	36
93	313	243	36
94	323	253	36
95	323	243	36
96	418	183	39
97	418	173	39
98	428	183	39
99	428	173	39
100	407	204	40
101	407	194	40
102	417	204	40
103	417	194	40
104	399	221	41
105	399	211	41
106	409	221	41
107	409	211	41
108	387	242	42
109	387	232	42
110	397	242	42
111	397	232	42
112	375	263	43
113	375	253	43
114	385	263	43
115	385	253	43
116	365	282	44
117	365	272	44
118	375	282	44
119	375	272	44
120	475	213	47
121	475	203	47
122	485	213	47
123	485	203	47
124	464	233	48
125	464	223	48
126	474	233	48
127	474	223	48
128	454	251	49
129	454	241	49
130	464	251	49
131	464	241	49
132	440	273	50
133	440	263	50
134	450	273	50
135	450	263	50
136	431	294	51
137	431	284	51
138	441	294	51
139	441	284	51
140	422	312	52
141	422	302	52
142	432	312	52
143	432	302	52
144	529	245	55
145	529	235	55
146	539	245	55
147	539	235	55
148	516	265	56
149	516	255	56
150	526	265	56
151	526	255	56
152	507	280	57
153	507	270	57
154	517	280	57
155	517	270	57
156	495	305	58
157	495	295	58
158	505	305	58
159	505	295	58
160	483	322	59
161	483	312	59
162	493	322	59
163	493	312	59
164	473	343	60
165	473	333	60
166	483	343	60
167	483	333	60 
